# distance squared_site_amplitude reference_decay
0 1.928616055655683e-01 6.882298362204958e-01
1 2.543951349990626e-01 2.543951349990626e-01
2 9.403382606399574e-02 9.403382606396797e-02
3 3.475837084807804e-02 3.475837084801629e-02
4 1.284797603783722e-02 1.284797603775443e-02
5 4.749085881837010e-03 4.749085881743297e-03
6 1.755437327028726e-03 1.755437326929782e-03
7 6.488743909866739e-04 6.488743908853455e-04
8 2.398479107556440e-04 2.398479106532465e-04
9 8.865663542827212e-05 8.865663532542249e-05
10 3.277076289941465e-05 3.277076279638028e-05
11 1.211328288577840e-05 1.211328278266694e-05
12 4.477516256320055e-06 4.477516153180988e-06
13 1.655055240697038e-06 1.655055137545691e-06
14 6.117695339328189e-07 6.117694307747732e-07
15 2.261326518225931e-07 2.261325486626924e-07
16 8.358703475965353e-08 8.358693159925308e-08
17 3.089691644804740e-08 3.089681328714842e-08
18 1.142070507853922e-08 1.142060191750646e-08
19 4.221578915532837e-09 4.221475753695443e-09
20 1.560516325166406e-09 1.560413161036740e-09
21 5.768894352653626e-10 5.767862650887406e-10
22 2.133046666726506e-10 2.132014801605393e-10
23 7.891036238285804e-11 7.880713167753996e-11
24 2.923337310423558e-11 2.913002291806139e-11
25 1.087120440249512e-11 1.076753102344697e-11
26 4.084624390172297e-12 3.980076660667753e-12
27 1.578096307732634e-12 1.471183151485460e-12
28 6.571160414789832e-13 5.438035620277637e-13
29 3.316347944551999e-13 2.010098564379912e-13
30 2.517619895190953e-13 7.430065782312578e-14
