# Re(lambda) Im(lambda)
-3.992744337287153e+00 0.000000000000000e+00
-3.375222507558278e+00 0.000000000000000e+00
-3.180492044835719e+00 0.000000000000000e+00
-2.780907138314287e+00 0.000000000000000e+00
-2.236718291213012e+00 -3.424553046507443e-01
-2.236718291213012e+00 3.424553046507443e-01
-2.109988528343240e+00 0.000000000000000e+00
-2.019799293554432e+00 0.000000000000000e+00
-1.974966801156742e+00 -4.685548659065477e-01
-1.974966801156742e+00 4.685548659065477e-01
-1.932486734515694e+00 -5.382313742115932e-01
-1.932486734515694e+00 5.382313742115932e-01
-1.695884398218688e+00 -6.401439531003504e-01
-1.695884398218688e+00 6.401439531003504e-01
-1.444472907755781e+00 -6.062761176046580e-01
-1.444472907755781e+00 6.062761176046580e-01
-1.395538611545084e+00 0.000000000000000e+00
-1.353104931559588e+00 0.000000000000000e+00
-1.206541893904304e+00 -4.524651785137487e-01
-1.206541893904304e+00 4.524651785137487e-01
-1.166942220370305e+00 0.000000000000000e+00
-8.339644047279957e-01 0.000000000000000e+00
-3.284843941027163e-01 0.000000000000000e+00
-8.066953427278908e-02 0.000000000000000e+00
