# Re(lambda) Im(lambda)
-3.316320092786102e+00 0.000000000000000e+00
-3.055923352341083e+00 0.000000000000000e+00
-2.407106781186547e+00 -1.000000000000076e-01
-2.407106781186547e+00 1.000000000000076e-01
-2.200000000000001e+00 -5.099019513592764e-01
-2.200000000000001e+00 5.099019513592764e-01
-2.076127455227804e+00 0.000000000000000e+00
-2.015531559792029e+00 0.000000000000000e+00
-1.999999999999999e+00 0.000000000000000e+00
-1.958819045102521e+00 -6.655919935607844e-01
-1.958819045102521e+00 6.655919935607844e-01
-1.700000000000002e+00 -7.141428428542848e-01
-1.700000000000002e+00 7.141428428542848e-01
-1.441180954897481e+00 -6.655919935607846e-01
-1.441180954897481e+00 6.655919935607846e-01
-1.384468440207969e+00 0.000000000000000e+00
-1.323872544772197e+00 0.000000000000000e+00
-1.199999999999999e+00 -5.099019513592797e-01
-1.199999999999999e+00 5.099019513592797e-01
-9.928932188134525e-01 -9.999999999999677e-02
-9.928932188134525e-01 9.999999999999677e-02
-3.440766476589249e-01 0.000000000000000e+00
-8.367990721389490e-02 0.000000000000000e+00
9.545872056631813e-16 0.000000000000000e+00
